issue_id,title,description,issue_type,status,priority,assignee,team,story_points,dependencies,updated_at
ISS-0001,Forum: Per-discussion subscription,,task,todo,medium,Dev_2,ml_team,3,ISS-18541,2026-02-18
ISS-0002,allow teachers to specify certain fields in database activity as required,,task,todo,medium,Dev_5,backend,3,,2026-02-21
ISS-0003,Forum: Reply by e-mail,,task,done,medium,Dev_4,ml_team,3,,2026-02-19
ISS-0004,Forum: proceed to next thread link,,task,done,medium,Dev_4,backend,3,,2026-02-28
ISS-0005,A use profile's course list is arbitarily limited with no way of seeing complete list,,task,in_progress,medium,Dev_1,devops,3,,2026-02-21
ISS-0006,Include bulk course create and remove with Moodle through the use of CSV files,,task,in_progress,medium,Dev_3,backend,3,,2026-02-18
ISS-0007,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins",,story,todo,medium,Dev_2,frontend,3,,2026-02-15
ISS-0008,Allow single-item scales,,task,in_progress,medium,Dev_1,ml_team,3,ISS-3360,2026-02-22
ISS-0009,backup or import of single quiz includes all questions in database,,task,in_progress,medium,Dev_5,devops,3,,2026-02-18
ISS-0010,Adding data mapping for custom user fields,,story,done,medium,Dev_1,frontend,3,,2026-02-27
ISS-0011,"Implement import/export ""Permissions"" settings for ""Manage roles"" tab",,story,done,medium,Dev_4,backend,3,ISS-1291,2026-02-21
ISS-0012,Automatically and periodically save WYSIWYG editor content as a draft/concept,,task,in_progress,medium,Dev_3,devops,3,,2026-02-14
ISS-0013,Add grade item and student grades quick edit feature to the grader report,,story,todo,medium,Dev_4,backend,3,,2026-02-25
ISS-0014,Displaying and selecting dates throughout Moodle should allow the use of multiple calendars,,task,todo,medium,Dev_2,frontend,3,,2026-02-17
ISS-0015,Non-graded Assignment and Quizzes appear in the gradebook  and have Max Grade assigned,,task,in_progress,medium,Dev_5,backend,3,,2026-02-24
ISS-0016,User profile: add last ip field to user view,,story,done,medium,Dev_2,devops,3,,2026-02-16
ISS-0017,"Add admin settings for disabling particular gradebook calculations, category overriding and grade minimum on the grader report",,story,todo,medium,Dev_3,devops,3,,2026-02-18
ISS-0018,Add unofficial support for custom context levels,,story,in_progress,medium,Dev_3,ml_team,3,,2026-02-16
ISS-0019,Course Participation Report doesn't abide by separate groups,,task,todo,medium,Dev_5,devops,3,,2026-02-16
ISS-0020,Chat window uses browser language rather than preferred language set in profile,,task,todo,medium,Dev_5,backend,3,,2026-02-21
ISS-0021,Category children default to extra credit when category agg is switched from Weighted to Simple,,task,done,medium,Dev_2,ml_team,3,,2026-02-28
ISS-0022,Design way to send files by web service (upload),,task,in_progress,medium,Dev_5,backend,3,ISS-21852,2026-02-16
ISS-0023,Moodle bug with course restore section count,,bug,done,medium,Dev_3,frontend,3,,2026-02-17
ISS-0024,Allow admin to remain logged in after login as procedure,,task,todo,medium,Dev_2,frontend,3,,2026-02-28
ISS-0025,"TinyMCE can't be resized and doesn't scroll for wide content, especially on small screens",,task,in_progress,medium,Dev_2,devops,3,,2026-02-21
ISS-0026,Properly deprecate unzip_file/zip_file,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-22
ISS-0027,Convert group members selector to Shifted YUI3 module.,,task,todo,medium,Dev_2,backend,3,,2026-02-26
ISS-0028,Chat: autoscroll help popup incorrect and doesn't display fully (it only concerns the alternative chat methods),,task,todo,medium,Dev_1,frontend,3,,2026-02-13
ISS-0029,a pagedown key press in any tinymce editor destroys entire page layout,,task,in_progress,medium,Dev_3,ml_team,3,,2026-02-27
ISS-0030,Deleted Forum & Blog Posts in RSS Block,,task,todo,medium,Dev_2,devops,3,,2026-02-20
ISS-0031,Improve Grader report user interface,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-16
ISS-0032,'Choose a link' for database URL field gives confusing message,,task,in_progress,medium,Dev_4,frontend,3,,2026-02-14
ISS-0033,Embedded MP4 videos via linking to the course file loops when finished playing.,,task,todo,medium,Dev_3,devops,3,,2026-02-19
ISS-0034,IMS Enterprise admin notifications fail on message_send(),,task,done,medium,Dev_5,frontend,3,,2026-02-14
ISS-0035,Default timezone is incorrect when not set in PHP configuration,,task,done,medium,Dev_5,devops,3,,2026-02-19
ISS-0036,"The link Create ""File system"" instance do not work",,task,in_progress,medium,Dev_4,devops,3,ISS-17665,2026-02-26
ISS-0037,"Upload users option only allow the following authentication options: Manual account, or No login",,task,in_progress,medium,Dev_3,ml_team,3,,2026-02-20
ISS-0038,forbid use of cookies especially from javascript,,task,done,medium,Dev_4,ml_team,3,,2026-02-19
ISS-0039,[ERROR] Automated backup status,,task,done,medium,Dev_2,frontend,3,,2026-02-24
ISS-0040,Clean enrol_imsenterprise following coding guidelines,,task,todo,medium,Dev_4,devops,3,ISS-23132,2026-02-26
ISS-0041,Export forum discussion without attachments to google docs portfolio,,task,todo,medium,Dev_5,frontend,3,,2026-02-25
ISS-0042,Chat window does not pop up for separate groups in IE7-9,,task,done,medium,Dev_2,ml_team,3,,2026-02-26
ISS-0043,Teachers cannot delete user submissions - advanced uploading of files,,task,done,medium,Dev_1,backend,3,ISS-18363,2026-02-25
ISS-0044,Attempting to edit wiki comments from another user causes an error,,task,in_progress,medium,Dev_3,frontend,3,,2026-02-13
ISS-0045,Prevent the grader report from storing serialized data in the user_preferences table,,task,done,medium,Dev_1,backend,3,,2026-02-17
ISS-0046,Latest backup files generate error/setting_invalid_ui_label upon restore,,task,in_progress,medium,Dev_3,ml_team,3,ISS-21695,2026-02-16
ISS-0047,form validation and error recovery,,task,in_progress,medium,Dev_5,devops,3,,2026-02-13
ISS-0048,user report grade view has inaccessible table,,task,todo,medium,Dev_2,backend,3,,2026-02-13
ISS-0049,provide easier chat reading for screen reader users in accessible chat activity,,task,done,medium,Dev_5,ml_team,3,,2026-02-21
ISS-0050,New posts listing on 'My Moodle' ignores groups.,,task,in_progress,medium,Dev_3,ml_team,3,,2026-02-15
ISS-0051,IMS Enterprise enrol plugin added features,,story,in_progress,medium,Dev_1,ml_team,3,,2026-02-24
ISS-0052,Introduce new grading fields - dategraded and datesubmitted,,task,in_progress,medium,Dev_2,ml_team,3,ISS-9289,2026-02-19
ISS-0053,PayPal IPN Script exposed to message_send() failure,,task,todo,medium,Dev_4,ml_team,3,,2026-02-18
ISS-0054,"New session infrastructure - file, database and memcached storage ",,task,todo,medium,Dev_4,devops,3,,2026-02-22
ISS-0055,New message_send API is incapable of sending notfications from the $CFG->noreplyaddress.,,story,in_progress,medium,Dev_3,frontend,3,,2026-02-28
ISS-0056,"In User Report, Weights should not be displayed as a percentage",,task,in_progress,medium,Dev_2,ml_team,3,,2026-02-15
ISS-0057,Overfilling DB entries with a replace causes error,,task,done,medium,Dev_3,backend,3,,2026-02-13
ISS-0058,"Additional name fields, to allow Asian languages to flexibly display user names in Chinese characters, local phonetic system or Romanization",,story,in_progress,medium,Dev_1,ml_team,3,ISS-20878,2026-02-22
ISS-0059,Global Search 2,,task,in_progress,medium,Dev_1,backend,3,ISS-18257,2026-02-23
ISS-0060,enrol/users.php shows last access to the platform but not last access to the course,,task,todo,medium,Dev_4,devops,3,,2026-02-27
ISS-0061,Replacement for the course and category management pages,,task,done,medium,Dev_5,backend,3,,2026-02-25
ISS-0062,Category Undefined in IMS Enterprise,,task,done,medium,Dev_1,frontend,3,,2026-02-27
ISS-0063,Links to some 1.9 resource types break after upgrade to 2.2 followed by backup and restore,,task,todo,medium,Dev_2,backend,3,,2026-02-23
ISS-0064,Upgrade dateselector to use YUI3 calendar module,,task,in_progress,medium,Dev_5,backend,3,ISS-17551,2026-02-14
ISS-0065,User login - trigger event,,task,todo,medium,Dev_2,backend,3,ISS-15356,2026-02-26
ISS-0066,"Deleting ""Miscellaneous"" category broke the ability to use IMS Enterprise to create courses",,task,todo,medium,Dev_4,ml_team,3,,2026-02-19
ISS-0067,DragMath GPL issue,,task,done,medium,Dev_1,backend,3,,2026-02-25
ISS-0068,Unable to create a new page in wiki,,task,done,medium,Dev_1,ml_team,3,ISS-8425,2026-02-25
ISS-0069,Rewrite DND Upload to YUI module (performance),,task,done,medium,Dev_1,backend,3,ISS-18324,2026-02-16
ISS-0070,There is no checkbox to control sending feedback when grading an assignment,,task,todo,medium,Dev_5,ml_team,3,,2026-02-13
ISS-0071,A way to hide messages that were configured to never be sent,,task,todo,medium,Dev_2,frontend,3,ISS-0177,2026-02-23
ISS-0072,Teacher can't access course files in hidden categories using the Filepicker with the server files repository ,,task,done,medium,Dev_1,ml_team,3,,2026-02-22
ISS-0073,Database function for fast bulk inserts,,task,in_progress,medium,Dev_1,ml_team,3,ISS-16732,2026-02-21
ISS-0074,Fix LTI backup and restore to support course and site tools and submissions,,task,in_progress,medium,Dev_1,backend,3,,2026-02-21
ISS-0075,Invalid JSON output on filepicker when repository plugins output invalid content,,task,todo,medium,Dev_1,backend,3,,2026-02-13
ISS-0076,Moving sections by drag and drop causes the sections to be reordered,,task,in_progress,medium,Dev_3,backend,3,,2026-02-24
ISS-0077,Restoring a course fails at mdl_log insert,,task,in_progress,medium,Dev_5,ml_team,3,,2026-02-14
ISS-0078,Assignment only partially disappears when Teacher using role switch to Student submits assignment ,,task,in_progress,medium,Dev_3,devops,3,,2026-02-23
ISS-0079,Port Google/Facebook Oauth2 plugin into core,,task,in_progress,medium,Dev_2,backend,3,,2026-02-21
ISS-0080,Assignment -teachers can no longer comment inline on online text,,task,todo,medium,Dev_4,ml_team,3,,2026-02-16
ISS-0081,Develop course structure caching,,task,in_progress,medium,Dev_1,ml_team,3,,2026-02-26
ISS-0082,META: Collect together deprecated code changes for Moodle 2.6,,task,todo,medium,Dev_5,backend,3,ISS-14196,2026-02-25
ISS-0083,Allow the chooser dialogue to submit values for the radio button,,task,todo,medium,Dev_2,ml_team,3,,2026-02-17
ISS-0084,remove message_get_my_providers() from lib/messagelib.php,,task,todo,medium,Dev_4,backend,3,,2026-02-26
ISS-0085,Add deprecate warning to get_context_instance() function,,story,done,medium,Dev_3,backend,3,,2026-02-28
ISS-0086,issue(s) with custom block regions,,task,in_progress,medium,Dev_2,backend,3,,2026-02-14
ISS-0087,Filenames w/ Spaces Generating incorrect SHA1,,task,todo,medium,Dev_3,devops,3,,2026-02-15
ISS-0088,Adding a new health check to detect incorrect category path order and/or missing parent categories,,story,done,medium,Dev_5,backend,3,,2026-02-24
ISS-0089,Deprecate get_context_instance_by_id() ,,task,in_progress,medium,Dev_4,frontend,3,,2026-02-28
ISS-0090,MSSQL backup fails under some circumstances,,task,in_progress,medium,Dev_2,ml_team,3,ISS-5416,2026-02-28
